CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Fernley, NV",22280,3/01/2022,43.0,Good,Ozone,32-019-0006,1
"Macon, GA",31420,29/09/2022,30.0,Good,Ozone,13-021-0012,1
"Cedar City, UT",16260,27/07/2022,48.0,Good,Ozone,49-021-0005,1
"Fayetteville-Springdale-Rogers, AR-MO",22220,6/04/2022,,Good,Ozone,05-143-0006,2
"Casper, WY",16220,25/05/2022,45.0,Good,Ozone,56-025-0100,2
"Oklahoma City, OK",36420,11/07/2022,100.0,Moderate,Ozone,40-109-1037,6
"Bishop, CA",13860,7/04/2022,43.0,Good,Ozone,06-027-0002,14
"Provo-Orem, UT",39340,31/08/2022,90.0,Moderate,Ozone,49-049-4001,2
"Bismarck, ND",13900,12/08/2022,48.0,Good,PM2.5,38-065-0002,2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,10/06/2022,49.0,Good,Ozone,45-051-0008,1
"Dickinson, ND",19860,13/08/2022,40.0,Good,PM2.5,38-007-0002,1
"Ann Arbor, MI",11460,9/01/2022,34.0,Good,Ozone,26-161-9991,2
"Corvallis, OR",18700,8/03/2022,27.0,Good,PM2.5,41-003-0013,1
"Greeley, CO",24540,1/04/2022,44.0,Good,Ozone,08-123-0013,3
"Concord, NH",18180,28/06/2022,25.0,Good,Ozone,33-013-1007,1
"Fort Wayne, IN",23060,25/06/2022,101.0,Unhealthy for Sensitive Groups,Ozone,18-003-0002,2
"Akron, OH",10420,10/07/2022,50.0,Good,Ozone,39-153-0026,5
"Utica-Rome, NY",46540,13/07/2022,14.0,Good,PM2.5,36-065-2001,1
"Harrisburg-Carlisle, PA",25420,10/07/2022,38.0,Good,PM2.5,42-043-0401,3
"Harrisonburg, VA",25500,15/05/2022,31.0,Good,Ozone,51-165-0003,1
"Altoona, PA",11020,6/06/2022,51.0,Moderate,Ozone,42-013-0801,1
"Charleston, WV",16620,6/03/2022,60.0,Moderate,PM2.5,54-039-0020,2
"Spartanburg, SC",43900,10/02/2022,37.0,Good,PM2.5,45-083-0011,1
"Durham-Chapel Hill, NC",20500,10/04/2022,42.0,Good,Ozone,37-145-0003,2
"Savannah, GA",42340,5/06/2022,40.0,Good,Ozone,13-051-0021,1
"Longview, TX",30980,12/03/2022,44.0,Good,Ozone,48-183-0001,1
"Macon, GA",31420,14/06/2022,52.0,Moderate,PM2.5,13-021-0012,1
"Hagerstown-Martinsburg, MD-WV",25180,22/02/2022,18.0,Good,PM2.5,24-043-0009,1
"Pierre, SD",38180,30/05/2022,0.0,Good,PM2.5,46-065-0003,1
"York-Hanover, PA",49620,2/06/2022,47.0,Good,PM2.5,42-133-0008,2
"Albuquerque, NM",10740,20/05/2022,52.0,Moderate,PM10,35-001-1013,7
"Lafayette, LA",29180,13/07/2022,37.0,Good,Ozone,22-055-0007,2
"Marshall, MN",32140,12/04/2022,31.0,Good,Ozone,27-083-4210,1
"Vineland-Bridgeton, NJ",47220,23/07/2022,74.0,Moderate,,34-011-0007,1
"Moscow, ID",34140,26/02/2022,0.0,Good,PM2.5,16-057-0005,1
"Des Moines-West Des Moines, IA",19780,29/04/2022,44.0,Good,Ozone,19-153-1579,3
"Fort Collins, CO",22660,9/05/2022,64.0,Moderate,Ozone,08-069-0007,4
"Lewiston-Auburn, ME",30340,21/05/2022,34.0,Good,Ozone,23-001-0014,2
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,19/01/2022,35.0,Good,Ozone,27-003-1002,15
"Little Rock-North Little Rock-Conway, AR",30780,25/05/2022,41.0,Good,Ozone,05-119-0007,2
"State College, PA",44300,6/06/2022,67.0,Moderate,Ozone,42-027-0100,2
"Iowa City, IA",26980,29/01/2022,48.0,Good,PM2.5,19-103-2001,1
"Columbia, MO",17860,25/03/2022,36.0,Good,Ozone,29-019-0011,1
"Fort Smith, AR-OK",22900,13/01/2022,32.0,Good,PM2.5,40-135-9021,1
"Duluth, MN-WI",20260,18/06/2022,,Good,Ozone,27-137-0034,5
"Shreveport-Bossier City, LA",43340,12/01/2022,40.0,Good,PM2.5,22-015-0008,2
"Boston-Cambridge-Newton, MA-NH",14460,7/06/2022,49.0,Good,Ozone,33-015-0014,14
"Olympia-Tumwater, WA",36500,25/01/2022,44.0,Good,PM2.5,53-067-0013,1
"Cedar Rapids, IA",16300,6/05/2022,57.0,Moderate,PM2.5,19-113-0040,2
"Beaver Dam, WI",13180,14/09/2022,32.0,Good,PM2.5,55-027-0001,1
"Clinton, IA",17540,7/03/2022,39.0,Good,Ozone,19-045-0021,2
"Manchester-Nashua, NH",31700,3/02/2022,36.0,Good,Ozone,33-011-5001,1
"Riverton, WY",40180,16/02/2022,35.0,Good,Ozone,56-013-0232,4
"Bellingham, WA",13380,18/04/2022,41.0,Good,Ozone,53-073-0005,2
"Spartanburg, SC",43900,15/04/2022,51.0,Moderate,Ozone,45-083-0009,2
"Sayre, PA",42380,18/09/2022,11.0,Good,NO2,42-015-0011,1
"Valdosta, GA",46660,8/01/2022,41.0,Good,PM2.5,13-185-0003,1
"Barnstable Town, MA",12700,15/01/2022,34.0,Good,Ozone,25-001-0002,1
"Lima, OH",30620,31/01/2022,93.0,Moderate,PM2.5,39-003-0009,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,30/09/2022,27.0,Good,Ozone,36-103-0044,38
"Oklahoma City, OK",36420,11/06/2022,67.0,Moderate,Ozone,40-109-1037,5
"Lake Havasu City-Kingman, AZ",29420,10/06/2022,24.0,Good,PM10,04-015-1003,1
"Moses Lake, WA",34180,21/06/2022,16.0,Good,PM2.5,53-025-1002,2
"Bellingham, WA",13380,15/06/2022,19.0,Good,PM2.5,53-073-0019,1
"Sioux City, IA-NE-SD",43580,27/08/2022,32.0,Good,PM2.5,19-193-0021,1
"Athens, OH",11900,2/05/2022,19.0,Good,PM2.5,39-009-0003,1
"Tuscaloosa, AL",46220,23/04/2022,40.0,Good,Ozone,01-125-0011,2
"Waco, TX",47380,20/02/2022,40.0,Good,Ozone,48-309-1037,1
"Traverse City, MI",45900,17/05/2022,31.0,Good,Ozone,26-019-0003,1
"Roanoke Rapids, NC",40260,14/01/2022,38.0,Good,PM2.5,37-131-0003,1
"Crestview-Fort Walton Beach-Destin, FL",18880,21/03/2022,49.0,Good,Ozone,12-091-0002,1
"Sheboygan, WI",43100,2/07/2022,42.0,Good,Ozone,55-117-0009,2
"Stockton-Lodi, CA",44700,24/02/2022,41.0,Good,PM2.5,06-077-2010,3
"Berlin, NH-VT",13620,28/06/2022,27.0,Good,Ozone,33-007-4002,1
"Oklahoma City, OK",36420,26/05/2022,49.0,Good,Ozone,40-087-1074,6
"Scottsbluff, NE",42420,22/02/2022,10.0,Good,PM2.5,31-157-0004,1
"Dayton, OH",19380,3/08/2022,64.0,Moderate,,39-113-0037,5
"Des Moines-West Des Moines, IA",19780,25/08/2022,32.0,Good,Ozone,19-153-0030,2
"Vincennes, IN",47180,7/06/2022,45.0,Good,Ozone,18-083-9991,1
"La Grande, OR",29260,19/02/2022,23.0,Good,PM2.5,41-061-0123,2
"Janesville-Beloit, WI",27500,12/05/2022,71.0,Moderate,Ozone,55-105-0030,1
"Denver-Aurora-Lakewood, CO",19740,12/02/2022,61.0,Moderate,NO2,08-031-0002,15
"Barnstable Town, MA",12700,14/02/2022,36.0,Good,Ozone,25-001-0002,1
"Durham-Chapel Hill, NC",20500,9/08/2022,38.0,Good,Ozone,37-145-0003,2
"Waterloo-Cedar Falls, IA",47940,25/03/2022,36.0,Good,Ozone,19-017-0011,2
"Lewiston-Auburn, ME",30340,10/08/2022,18.0,Good,Ozone,23-001-0014,2
"Albany, OR",10540,12/05/2022,13.0,Good,PM2.5,41-043-2002,4
"Waterloo-Cedar Falls, IA",47940,24/05/2022,39.0,Good,Ozone,19-017-0011,2
"Baraboo, WI",12660,30/08/2022,37.0,Good,PM2.5,55-111-0007,1
"Show Low, AZ",43320,5/08/2022,,Good,PM10,04-017-1002,1
"State College, PA",44300,19/10/2022,2.0,Good,NO2,42-027-0100,1
"Klamath Falls, OR",28900,18/04/2022,23.0,Good,PM2.5,41-035-0004,1
"Kahului-Wailuku-Lahaina, HI",27980,11/04/2022,,Good,,15-009-0025,1
"Danville, VA",19260,13/01/2022,7.0,Good,NO2,51-143-0005,1
"Utica-Rome, NY",46540,25/01/2022,38.0,Good,PM2.5,36-065-2001,1
"Yuma, AZ",49740,12/08/2022,48.0,Good,Ozone,04-027-8011,1
"Rock Springs, WY",40540,25/06/2022,44.0,Good,Ozone,56-037-0300,16
"Lynchburg, VA",31340,16/06/2022,55.0,Moderate,PM2.5,51-680-0015,1
"Lafayette, LA",29180,27/06/2022,39.0,Good,Ozone,22-055-0007,2
"Brookings, SD",15100,21/05/2022,38.0,Good,Ozone,46-011-0003,1
"McAlester, OK",32540,3/05/2022,29.0,Good,Ozone,40-121-0415,1
"La Crosse-Onalaska, WI-MN",29100,25/06/2022,41.0,Good,Ozone,55-063-0012,1
"Traverse City, MI",45900,23/03/2022,38.0,Good,Ozone,26-019-0003,1
"Huntsville, AL",26620,21/06/2022,60.0,Moderate,PM2.5,01-089-0014,3
"Kokomo, IN",29020,13/08/2022,28.0,Good,PM2.5,18-067-0004,1
"Summerville, GA",44900,30/07/2022,28.0,Good,Ozone,13-055-0001,1
"Palm Bay-Melbourne-Titusville, FL",37340,15/01/2022,51.0,Moderate,Ozone,12-009-4001,2
"Erie, PA",21500,28/08/2022,31.0,Good,PM2.5,42-049-0003,1
"Rome, GA",40660,10/08/2022,18.0,Good,PM2.5,13-115-0003,1
"Gadsden, AL",23460,10/05/2022,44.0,Good,Ozone,01-055-0011,2
"Brunswick, GA",15260,18/07/2022,27.0,Good,PM2.5,13-127-0006,1
"Pueblo, CO",39380,30/01/2022,11.0,Good,PM10,08-101-0015,1
"Pueblo, CO",39380,13/08/2022,19.0,Good,PM10,08-101-0015,1
"Cedar Rapids, IA",16300,8/06/2022,48.0,Good,Ozone,19-113-0040,2
"Ponce, PR",38660,13/06/2022,45.0,Good,PM2.5,72-113-0004,1
"Pittsburgh, PA",38300,20/06/2022,62.0,Moderate,PM2.5,42-003-0064,19
"Carlsbad-Artesia, NM",16100,14/02/2022,44.0,Good,Ozone,35-015-0010,2
"Memphis, TN-MS-AR",32820,12/04/2022,40.0,Good,PM2.5,28-033-0002,7
"San Jose-Sunnyvale-Santa Clara, CA",41940,10/07/2022,41.0,Good,Ozone,06-069-0003,6
"Indianapolis-Carmel-Anderson, IN",26900,12/05/2022,84.0,Moderate,Ozone,18-011-0001,12
"Minot, ND",33500,5/09/2022,77.0,Moderate,PM2.5,38-101-0003,1
"Vallejo-Fairfield, CA",46700,8/07/2022,34.0,Good,Ozone,06-095-3003,2
"Rockland, ME",40500,5/04/2022,41.0,Good,Ozone,23-013-0004,1
"Florence, SC",22500,24/06/2022,48.0,Good,Ozone,45-031-0003,2
"Bloomington, IN",14020,14/03/2022,45.0,Good,Ozone,18-055-0001,2
"Eureka-Arcata-Fortuna, CA",21700,2/02/2022,28.0,Good,Ozone,06-023-1004,1
"Fort Collins, CO",22660,7/07/2022,46.0,Good,Ozone,08-069-0007,4
"Texarkana, TX-AR",45500,3/07/2022,51.0,Moderate,PM2.5,48-037-1031,1
"San Juan-Carolina-Caguas, PR",41980,1/05/2022,37.0,Good,PM2.5,72-033-0004,3
"Casper, WY",16220,25/04/2022,44.0,Good,Ozone,56-025-0100,2
"Great Falls, MT",24500,5/06/2022,8.0,Good,PM2.5,30-013-0001,1
"Houma-Thibodaux, LA",26380,18/04/2022,36.0,Good,PM2.5,22-057-0004,1
"Jackson, WY-ID",27220,28/03/2022,44.0,Good,Ozone,56-039-1011,4
"Charleston, WV",16620,29/05/2022,36.0,Good,Ozone,54-039-0020,2
"Naples-Immokalee-Marco Island, FL",34940,3/05/2022,31.0,Good,Ozone,12-021-0004,1
"Pittsburgh, PA",38300,24/10/2022,26.0,Good,PM10,42-007-0014,2
"Kingsport-Bristol-Bristol, TN-VA",28700,11/09/2022,8.0,Good,PM2.5,51-520-0006,1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,10/06/2022,57.0,Moderate,PM2.5,06-079-2007,9
"Michigan City-La Porte, IN",33140,24/03/2022,23.0,Good,Ozone,18-091-0005,3
"Albany, GA",10500,7/03/2022,55.0,Moderate,PM2.5,13-095-0007,1
"Sheboygan, WI",43100,3/06/2022,48.0,Good,Ozone,55-117-0006,2
"Durham-Chapel Hill, NC",20500,7/06/2022,48.0,Good,Ozone,37-063-0015,2
"Centralia, WA",16500,24/01/2022,40.0,Good,PM2.5,53-041-0004,1
"Lynchburg, VA",31340,29/04/2022,25.0,Good,PM2.5,51-680-0015,1
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,11/04/2022,42.0,Good,Ozone,36-063-1006,5
"New Orleans-Metairie, LA",35380,5/07/2022,50.0,Good,PM2.5,22-071-0012,8
"Muncie, IN",34620,27/08/2022,40.0,Good,Ozone,18-035-0010,2
"Payson, AZ",37740,29/01/2022,43.0,Good,Ozone,04-007-0010,3
"Waco, TX",47380,17/05/2022,43.0,Good,Ozone,48-309-1037,1
"Utica-Rome, NY",46540,22/01/2022,44.0,Good,PM2.5,36-065-2001,1
"Syracuse, NY",45060,15/01/2022,30.0,Good,PM2.5,36-067-1015,2
"Jackson, TN",27180,6/04/2022,18.0,Good,PM2.5,47-113-0010,1
"Lebanon, PA",30140,9/05/2022,48.0,Good,,42-075-0101,1
"Watertown, SD",47980,3/05/2022,36.0,Good,Ozone,46-029-0002,1
"Jacksonville, FL",27260,15/04/2022,54.0,Moderate,PM2.5,12-031-0032,7
"Lebanon, PA",30140,13/04/2022,49.0,Good,PM2.5,42-075-0101,1
"Green Bay, WI",24580,4/01/2022,54.0,Moderate,PM2.5,55-009-0005,1
"Sacramento--Roseville--Arden-Arcade, CA",40900,2/06/2022,44.0,Good,Ozone,06-061-2003,13
"Shelton, WA",43220,8/03/2022,23.0,Good,PM2.5,53-045-0007,1
"Allentown-Bethlehem-Easton, PA-NJ",10900,28/04/2022,45.0,Good,Ozone,42-095-0025,3
"Great Falls, MT",24500,12/06/2022,6.0,Good,PM2.5,30-013-0001,1
"Akron, OH",10420,29/09/2022,15.0,Good,,39-153-0017,3
"La Grande, OR",29260,14/02/2022,25.0,Good,PM2.5,41-061-0123,2
"Keene, NH",28300,8/04/2022,38.0,Good,Ozone,33-005-0007,1
"Rochester, MN",40340,28/04/2022,39.0,Good,Ozone,27-109-5008,1
"Owensboro, KY",36980,10/03/2022,44.0,Good,Ozone,21-091-0012,2
"Vermillion, SD",46820,3/03/2022,37.0,Good,Ozone,46-027-0001,1
"Lawton, OK",30020,7/05/2022,54.0,Moderate,Ozone,40-031-0651,1
"Carson City, NV",16180,1/03/2022,38.0,Good,Ozone,32-510-0020,1
"Watertown, SD",47980,11/03/2022,33.0,Good,Ozone,46-029-0002,1
"Memphis, TN-MS-AR",32820,5/07/2022,42.0,Good,,28-033-0002,2
"Amarillo, TX",11100,11/08/2022,77.0,Moderate,Ozone,48-381-9991,2
"Utica-Rome, NY",46540,19/04/2022,4.0,Good,PM2.5,36-065-2001,1
"Charlottesville, VA",16820,13/06/2022,45.0,Good,PM2.5,51-003-0001,1
"Clinton, IA",17540,23/03/2022,33.0,Good,PM2.5,19-045-0019,2
"Bozeman, MT",14580,5/02/2022,22.0,Good,PM2.5,30-031-0019,2
"Beaumont-Port Arthur, TX",13140,11/08/2022,33.0,Good,Ozone,48-245-1035,7
"Cleveland, MS",17380,7/07/2022,30.0,Good,Ozone,28-011-0002,1
"Tyler, TX",46340,11/02/2022,77.0,Moderate,Ozone,48-423-0007,1
"Sebring, FL",42700,25/03/2022,61.0,Moderate,Ozone,12-055-0003,1
"Glenwood Springs, CO",24060,22/06/2022,,Good,Ozone,08-045-0012,2
"Columbus, IN",18020,30/06/2022,90.0,Moderate,Ozone,18-005-0007,2
"Kansas City, MO-KS",28140,14/06/2022,92.0,Moderate,PM2.5,20-209-0021,11
"Pahrump, NV",37220,3/01/2022,17.0,Good,PM10,32-023-0014,4
"Great Falls, MT",24500,15/04/2022,17.0,Good,PM2.5,30-013-0001,1
"Parkersburg-Vienna, WV",37620,12/06/2022,35.0,Good,Ozone,54-107-1002,1
"Hot Springs, AR",26300,24/03/2022,,Good,PM2.5,05-051-0003,1
"Vallejo-Fairfield, CA",46700,11/07/2022,39.0,Good,Ozone,06-095-3003,2
"Detroit-Warren-Dearborn, MI",19820,11/01/2022,,Moderate,PM2.5,26-163-0015,17
"Grand Island, NE",24260,27/04/2022,30.0,Good,PM2.5,31-079-0005,1
"Visalia-Porterville, CA",47300,2/02/2022,72.0,Moderate,,06-107-2003,3
"Savannah, GA",42340,9/08/2022,23.0,Good,Ozone,13-051-0021,2
"Oxnard-Thousand Oaks-Ventura, CA",37100,5/01/2022,39.0,Good,Ozone,06-111-0009,5
"Akron, OH",10420,24/03/2022,38.0,Good,Ozone,39-133-1001,5
"Toledo, OH",45780,19/01/2022,33.0,Good,PM2.5,39-095-0024,1
"Kokomo, IN",29020,23/08/2022,33.0,Good,PM2.5,18-067-0004,1
"Grand Island, NE",24260,3/07/2022,35.0,Good,PM2.5,31-079-0005,1
"Rocky Mount, NC",40580,18/03/2022,43.0,Good,Ozone,37-065-0099,1
"Pullman, WA",39420,1/04/2022,13.0,Good,PM2.5,53-075-0003,3
"Worcester, MA-CT",49340,16/02/2022,58.0,Moderate,PM2.5,25-027-0023,4
"Johnstown, PA",27780,10/04/2022,37.0,Good,Ozone,42-021-0011,1
"Phoenix-Mesa-Scottsdale, AZ",38060,12/01/2022,115.0,Unhealthy for Sensitive Groups,Ozone,04-013-5100,44
"Flint, MI",22420,16/05/2022,46.0,Good,Ozone,26-049-2001,2
"Monroe, MI",33780,17/01/2022,31.0,Good,PM10,26-115-0951,2
"Santa Rosa, CA",42220,18/03/2022,32.0,Good,PM2.5,06-097-0004,4
"Fort Wayne, IN",23060,21/08/2022,35.0,Good,PM2.5,18-183-0003,2
"Fairbanks, AK",21820,7/07/2022,9.0,Good,CO,02-090-0034,1
"Green Bay, WI",24580,29/05/2022,67.0,Moderate,Ozone,55-061-0002,3
"Manitowoc, WI",31820,5/05/2022,38.0,Good,Ozone,55-071-0007,1
"Reno, NV",39900,7/06/2022,87.0,Moderate,Ozone,32-031-1007,7
"Kokomo, IN",29020,31/03/2022,31.0,Good,Ozone,18-067-0004,1
"Parkersburg-Vienna, WV",37620,8/06/2022,44.0,Good,Ozone,54-107-1002,1
"St. George, UT",41100,13/07/2022,49.0,Good,,49-053-0130,2
"Taos, NM",45340,19/06/2022,22.0,Good,PM2.5,35-055-0005,1
"Albany-Schenectady-Troy, NY",10580,18/04/2022,37.0,Good,Ozone,36-091-0004,3
"Paducah, KY-IL",37140,22/02/2022,33.0,Good,PM2.5,21-145-1024,1
"Boston-Cambridge-Newton, MA-NH",14460,26/04/2022,38.0,Good,Ozone,33-015-0018,14
"Hilo, HI",25900,10/04/2022,34.0,Good,PM2.5,15-001-1012,7
"Akron, OH",10420,21/01/2022,22.0,Good,PM2.5,39-153-0017,1
"Cedar Rapids, IA",16300,9/05/2022,49.0,Good,PM2.5,19-113-0040,2
"Vallejo-Fairfield, CA",46700,4/05/2022,44.0,Good,Ozone,06-095-3003,3
"Pocatello, ID",38540,19/05/2022,61.0,Moderate,PM10,16-005-0015,1
"Morgantown, WV",34060,22/04/2022,49.0,Good,Ozone,54-061-0003,1
"Helena, MT",25740,13/08/2022,49.0,Good,Ozone,30-049-0004,2
"Riverton, WY",40180,13/01/2022,48.0,Good,Ozone,56-013-0099,4
"Corvallis, OR",18700,8/01/2022,35.0,Good,PM2.5,41-003-0013,1
"Colorado Springs, CO",17820,29/08/2022,64.0,Moderate,Ozone,08-041-0016,4
"Harrisonburg, VA",25500,19/05/2022,44.0,Good,Ozone,51-165-0003,1
"Mayaguez, PR",32420,9/05/2022,43.0,Good,PM2.5,72-097-0007,1
"Shreveport-Bossier City, LA",43340,15/05/2022,54.0,Moderate,PM2.5,22-015-0008,2
"Lincoln, NE",30700,21/04/2022,36.0,Good,Ozone,31-109-0016,1
"Provo-Orem, UT",39340,29/04/2022,49.0,Good,Ozone,49-049-5010,2
"Davenport-Moline-Rock Island, IA-IL",19340,1/08/2022,37.0,Good,PM10,19-163-0017,4
"Fayetteville-Springdale-Rogers, AR-MO",22220,4/07/2022,25.0,Good,PM10,05-143-0005,1
"Roanoke, VA",40220,1/05/2022,54.0,Moderate,PM2.5,51-161-1004,1
"Roanoke Rapids, NC",40260,29/04/2022,23.0,Good,PM2.5,37-131-0003,1
"Augusta-Waterville, ME",12300,6/08/2022,45.0,Good,Ozone,23-011-2001,1
"Rome, GA",40660,11/08/2022,18.0,Good,PM2.5,13-115-0003,1
"Phoenix-Mesa-Scottsdale, AZ",38060,25/04/2022,112.0,Unhealthy for Sensitive Groups,,04-013-9508,44
"Warner Robins, GA",47580,17/04/2022,28.0,Good,PM2.5,13-153-0001,1
"Clinton, IA",17540,31/03/2022,33.0,Good,Ozone,19-045-0021,2
"Detroit-Warren-Dearborn, MI",19820,15/02/2022,88.0,Moderate,PM2.5,26-163-0015,13
"Kalamazoo-Portage, MI",28020,7/05/2022,50.0,Good,Ozone,26-077-0008,1
"Prescott, AZ",39140,19/03/2022,47.0,Good,Ozone,04-025-8034,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,28/07/2022,35.0,Good,Ozone,45-051-0008,1
"Rochester, MN",40340,9/01/2022,,Good,PM2.5,27-109-5008,1
"Pierre, SD",38180,5/06/2022,9.0,Good,PM2.5,46-065-0003,1
"Bemidji, MN",13420,2/03/2022,24.0,Good,PM2.5,27-007-2304,1
"Lake Charles, LA",29340,10/04/2022,54.0,Moderate,PM10,22-019-0008,3
"Athens, OH",11900,14/01/2022,37.0,Good,PM2.5,39-009-0003,1
"Moscow, ID",34140,28/03/2022,4.0,Good,PM2.5,16-057-0005,1
"Aberdeen, WA",10140,12/04/2022,10.0,Good,PM2.5,53-027-2002,1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,17/02/2022,44.0,Good,Ozone,06-079-4002,10
"Beaumont-Port Arthur, TX",13140,9/05/2022,48.0,Good,PM2.5,48-245-0021,8
"Vincennes, IN",47180,7/03/2022,38.0,Good,Ozone,18-083-9991,1
"Eagle Pass, TX",20580,2/04/2022,26.0,Good,PM2.5,48-323-0004,1
"Dalton, GA",19140,4/08/2022,38.0,Good,Ozone,13-213-0003,1
"Atlantic City-Hammonton, NJ",12100,23/08/2022,47.0,Good,Ozone,34-001-0006,1
"Sayre, PA",42380,30/05/2022,45.0,Good,Ozone,42-015-0011,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,16/03/2022,61.0,Moderate,Ozone,24-033-0030,19
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,13/07/2022,26.0,Good,Ozone,45-051-0008,1
"Harrison, AR",25460,18/05/2022,40.0,Good,Ozone,05-101-0002,1
"Hot Springs, AR",26300,30/08/2022,15.0,Good,PM2.5,05-051-0003,1
"Carlsbad-Artesia, NM",16100,1/06/2022,47.0,Good,Ozone,35-015-0010,2
"Cheyenne, WY",16940,24/04/2022,41.0,Good,Ozone,56-021-0100,1
"State College, PA",44300,21/03/2022,46.0,Good,Ozone,42-027-9991,2
"Cleveland, MS",17380,18/09/2022,56.0,Moderate,PM2.5,28-011-0002,1
"Greeley, CO",24540,19/02/2022,53.0,Moderate,PM2.5,08-123-0006,3
"Lincoln, NE",30700,14/06/2022,42.0,Good,Ozone,31-109-0016,1
"Urban Honolulu, HI",46520,19/02/2022,31.0,Good,Ozone,15-003-1004,4
"Stockton-Lodi, CA",44700,19/02/2022,85.0,Moderate,PM2.5,06-077-1003,3
"The Dalles, OR",45520,8/04/2022,11.0,Good,PM2.5,41-065-0007,1
"Huntsville, AL",26620,20/01/2022,24.0,Good,PM2.5,01-089-0014,2
"Tulsa, OK",46140,22/01/2022,53.0,Moderate,PM2.5,40-143-1127,3
"Santa Cruz-Watsonville, CA",42100,5/02/2022,44.0,Good,PM2.5,06-087-1005,2
"Clarksville, TN-KY",17300,1/04/2022,41.0,Good,Ozone,21-221-9991,3
"Atlanta-Sandy Springs-Roswell, GA",12060,11/04/2022,48.0,Good,PM2.5,13-121-0055,13
"Santa Maria-Santa Barbara, CA",42200,19/03/2022,35.0,Good,Ozone,06-083-2004,8
"Longview, WA",31020,12/01/2022,17.0,Good,PM2.5,53-015-0015,1
"Flagstaff, AZ",22380,28/06/2022,48.0,Good,Ozone,04-005-1008,2
"Chattanooga, TN-GA",16860,26/05/2022,30.0,Good,PM2.5,47-065-4002,4
"Morgantown, WV",34060,28/06/2022,25.0,Good,PM2.5,54-061-0003,1
"Cedar City, UT",16260,23/06/2022,44.0,Good,Ozone,49-021-0005,1
"Crestview-Fort Walton Beach-Destin, FL",18880,7/04/2022,45.0,Good,Ozone,12-091-0002,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,29/09/2022,27.0,Good,Ozone,34-023-0011,39
"Owensboro, KY",36980,11/05/2022,66.0,Moderate,PM2.5,21-059-0005,2
"Coeur d'Alene, ID",17660,6/05/2022,8.0,Good,PM2.5,16-055-0015,1
"Vineyard Haven, MA",47240,28/01/2022,38.0,Good,Ozone,25-007-0001,1
"Columbus, OH",18140,29/08/2022,34.0,Good,Ozone,39-049-0029,8
"Kingsport-Bristol-Bristol, TN-VA",28700,28/01/2022,45.0,Good,PM2.5,47-163-1007,1
"Fairbanks, AK",21820,7/05/2022,32.0,Good,Ozone,02-090-0034,3
"Chicago-Naperville-Elgin, IL-IN-WI",16980,3/01/2022,55.0,Moderate,PM2.5,17-031-0119,23
"Baltimore-Columbia-Towson, MD",12580,29/06/2022,77.0,Moderate,Ozone,24-510-5253,9
"Lawton, OK",30020,12/06/2022,39.0,Good,Ozone,40-031-0651,1
"Gulfport-Biloxi-Pascagoula, MS",25060,7/09/2022,38.0,Good,,28-047-0008,3
"Americus, GA",11140,31/08/2022,36.0,Good,Ozone,13-261-1001,1
"Hilo, HI",25900,18/03/2022,18.0,Good,,15-001-1012,6
"Austin-Round Rock, TX",12420,1/06/2022,30.0,Good,PM2.5,48-453-1068,4
"Holland, MI",26090,22/06/2022,74.0,Moderate,Ozone,26-005-0003,1
"Pierre, SD",38180,12/06/2022,0.0,Good,PM2.5,46-065-0003,1
"Farmington, NM",22140,14/08/2022,90.0,Moderate,Ozone,35-045-0009,4
"Dyersburg, TN",20540,22/02/2022,30.0,Good,PM2.5,47-045-0004,1
"Marshall, TX",32220,6/06/2022,42.0,Good,PM2.5,48-203-0002,1
"Charlottesville, VA",16820,18/05/2022,38.0,Good,Ozone,51-003-0001,1
"Manitowoc, WI",31820,3/05/2022,29.0,Good,Ozone,55-071-0007,1
"Riverside-San Bernardino-Ontario, CA",40140,8/06/2022,179.0,Unhealthy,Ozone,06-071-9004,24
"Keene, NH",28300,22/02/2022,52.0,Moderate,PM2.5,33-005-0007,1
"Lewiston-Auburn, ME",30340,24/04/2022,42.0,Good,Ozone,23-001-0014,2
"La Crosse-Onalaska, WI-MN",29100,8/02/2022,57.0,Moderate,PM2.5,55-063-0012,1
"Urban Honolulu, HI",46520,17/04/2022,34.0,Good,Ozone,15-003-1004,3
"New Orleans-Metairie, LA",35380,17/02/2022,48.0,Good,PM2.5,22-051-1001,8
"El Centro, CA",20940,26/04/2022,108.0,Unhealthy for Sensitive Groups,Ozone,06-025-1003,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,9/01/2022,50.0,Good,PM2.5,24-031-3001,14
"Hanford-Corcoran, CA",25260,18/02/2022,80.0,Moderate,PM2.5,06-031-1004,3
